loss,mae,val_loss,val_mae,learning_rate
0.8597318530082703,0.7474111914634705,0.7491710782051086,0.701828122138977,0.0005000000237487257
0.7870690822601318,0.7151597738265991,0.7430245876312256,0.6983045935630798,0.0005000000237487257
0.7724628448486328,0.7087072134017944,0.7414997220039368,0.6975865364074707,0.0005000000237487257
0.7652639150619507,0.705361008644104,0.7408266663551331,0.6972740888595581,0.0005000000237487257
0.761608362197876,0.7035684585571289,0.7413317561149597,0.6978476047515869,0.0005000000237487257
0.7579896450042725,0.7016444802284241,0.7392240166664124,0.6966700553894043,0.0005000000237487257
0.7546666264533997,0.7003393173217773,0.7390193343162537,0.6966058015823364,0.0005000000237487257
0.7532948851585388,0.6996936202049255,0.737586498260498,0.6957640051841736,0.0005000000237487257
0.7525554895401001,0.6995790600776672,0.7374061942100525,0.69576495885849,0.0005000000237487257
0.7503372430801392,0.6983920931816101,0.734481930732727,0.6940639019012451,0.0005000000237487257
0.7494657039642334,0.6976466178894043,0.7339531779289246,0.6937259435653687,0.0005000000237487257
0.7479948401451111,0.6970512866973877,0.7330740094184875,0.6932829022407532,0.0005000000237487257
0.7476252913475037,0.6968388557434082,0.7334351539611816,0.6934878826141357,0.0005000000237487257
0.7461372017860413,0.6962270140647888,0.7311834096908569,0.6920698285102844,0.0005000000237487257
0.7446818351745605,0.695414125919342,0.7308194041252136,0.6918288469314575,0.0005000000237487257
0.7450971603393555,0.695707380771637,0.7285453677177429,0.6905066967010498,0.0005000000237487257
0.7446164488792419,0.6956372857093811,0.7281522154808044,0.6902586221694946,0.0005000000237487257
0.7436568140983582,0.6950786709785461,0.7278357744216919,0.6900806427001953,0.0005000000237487257
0.7421392798423767,0.6941032409667969,0.728613018989563,0.6906613111495972,0.0005000000237487257
0.7427330017089844,0.6946145296096802,0.7276480793952942,0.6899812817573547,0.0005000000237487257
0.7422268390655518,0.6942950487136841,0.7255701422691345,0.6887074112892151,0.0005000000237487257
0.7415044903755188,0.6940242648124695,0.726010799407959,0.6889232993125916,0.0005000000237487257
0.7409597039222717,0.6936600804328918,0.7260522842407227,0.6889402866363525,0.0005000000237487257
0.7397982478141785,0.6931248903274536,0.727171778678894,0.6896255612373352,0.0002500000118743628
0.7400757670402527,0.693277895450592,0.7274461984634399,0.6897353529930115,0.0002500000118743628
0.7393904328346252,0.6929208040237427,0.7278906106948853,0.6900304555892944,0.0001250000059371814
