loss,mae,val_loss,val_mae,learning_rate
0.8585833311080933,0.7460788488388062,0.7436378002166748,0.6985858678817749,0.0005000000237487257
0.790410578250885,0.7165375351905823,0.7442985773086548,0.699413001537323,0.0005000000237487257
0.7742720246315002,0.7092970013618469,0.7433300018310547,0.6990113258361816,0.0005000000237487257
0.7656564712524414,0.705585241317749,0.7436165809631348,0.6996084451675415,0.0005000000237487257
0.7609522342681885,0.7036364078521729,0.7432380318641663,0.6994617581367493,0.0005000000237487257
0.7579127550125122,0.7018598914146423,0.7444353699684143,0.7000541090965271,0.0002500000118743628
0.7563163042068481,0.7011350393295288,0.7431398630142212,0.6993372440338135,0.0002500000118743628
0.7545455098152161,0.7001027464866638,0.7443351149559021,0.7000679969787598,0.0002500000118743628
0.7524648308753967,0.6995187401771545,0.7436811327934265,0.699702799320221,0.0002500000118743628
0.753079891204834,0.6995046734809875,0.7457825541496277,0.7008180618286133,0.0001250000059371814
0.7523214221000671,0.6993132829666138,0.743800163269043,0.699711263179779,0.0001250000059371814
0.7518535256385803,0.698947548866272,0.7432309985160828,0.6994238495826721,6.25000029685907e-05
