loss,mae,val_loss,val_mae,learning_rate
0.8652433753013611,0.7481396198272705,0.7637960910797119,0.7100393772125244,0.0010000000474974513
0.791992723941803,0.7170418500900269,0.759989321231842,0.7081506252288818,0.0010000000474974513
0.7777338624000549,0.7109256386756897,0.7634470462799072,0.7103257179260254,0.0010000000474974513
0.7709878087043762,0.7076650261878967,0.756386935710907,0.7067731022834778,0.0010000000474974513
0.7656675577163696,0.7055707573890686,0.7533054947853088,0.7050325274467468,0.0010000000474974513
0.7633069157600403,0.7043402194976807,0.7494235038757324,0.7028803825378418,0.0010000000474974513
0.7609864473342896,0.7035309672355652,0.7488319277763367,0.7028865814208984,0.0010000000474974513
0.7588763236999512,0.7024024128913879,0.7476230263710022,0.7021186947822571,0.0010000000474974513
0.7574123740196228,0.7013818025588989,0.7420988082885742,0.6990499496459961,0.0010000000474974513
0.7559162378311157,0.7007387280464172,0.7423619031906128,0.6993094086647034,0.0010000000474974513
0.7554133534431458,0.7004350423812866,0.7443591952323914,0.7006689310073853,0.0010000000474974513
0.7532932758331299,0.6996114253997803,0.7430534362792969,0.6994830369949341,0.0005000000237487257
0.7504991292953491,0.6983230113983154,0.7409951090812683,0.6984387636184692,0.0005000000237487257
0.7521167397499084,0.6994820833206177,0.7403522729873657,0.6981372237205505,0.0005000000237487257
0.7513365745544434,0.6986804604530334,0.7397608160972595,0.6977757215499878,0.0005000000237487257
0.7514816522598267,0.6987030506134033,0.7377659678459167,0.6966407299041748,0.0005000000237487257
0.7509908080101013,0.6988604068756104,0.7384029030799866,0.6970067620277405,0.0005000000237487257
0.7496598958969116,0.697853684425354,0.7380801439285278,0.6968668103218079,0.0005000000237487257
0.7505280375480652,0.6986081600189209,0.7380856275558472,0.6968031525611877,0.0002500000118743628
0.7491549253463745,0.6977099180221558,0.7367826700210571,0.6960877180099487,0.0002500000118743628
0.7490378618240356,0.6975592970848083,0.7380722761154175,0.6968274712562561,0.0002500000118743628
0.7500608563423157,0.6983320116996765,0.7373260259628296,0.6963838338851929,0.0002500000118743628
0.7482092976570129,0.6971563696861267,0.737180769443512,0.6962245106697083,0.0001250000059371814
0.7484940886497498,0.6971583366394043,0.7366487383842468,0.6959471702575684,0.0001250000059371814
0.7492021918296814,0.6977285146713257,0.7363338470458984,0.6957504749298096,0.0001250000059371814
0.7482159733772278,0.6971351504325867,0.7357057929039001,0.6954256296157837,0.0001250000059371814
0.74822998046875,0.6974873542785645,0.7356270551681519,0.6953861117362976,0.0001250000059371814
0.7488124966621399,0.6978231072425842,0.7362914085388184,0.6957702040672302,0.0001250000059371814
0.7484198212623596,0.6973991394042969,0.7349337935447693,0.6949473023414612,6.25000029685907e-05
0.7495190501213074,0.6979115605354309,0.7352729439735413,0.6951842308044434,6.25000029685907e-05
